session,sub_id,picture,target,distractor,format,condition,conditionletter,block
list1_block4,p01,flugzeugmarke.jpg,flugzeug,marke,.jpg,unr2,D,4
list1_block4,p01,scherefluch.jpg,schere,fluch,.jpg,unr1,C,4
list1_block4,p01,schlusselpauschale.jpg,schlussel,pauschale,.jpg,nonlinear,B,4
list1_block4,p01,brillebrombeere.jpg,brille,brombeere,.jpg,onsetphon,A,4
list1_block4,p01,buchxxxx.jpg,buch,xxxx,.jpg,baseline,E,4
list1_block4,p01,regenschirmzahlwort.jpg,regenschirm,zahlwort,.jpg,unr2,D,4
list1_block4,p01,moscheeregulation.jpg,moschee,regulation,.jpg,unr1,C,4
list1_block4,p01,hexetaxwert.jpg,hexe,taxwert,.jpg,nonlinear,B,4
list1_block4,p01,vasevakuum.jpg,vase,vakuum,.jpg,onsetphon,A,4
list1_block4,p01,waschmaschinexxxx.jpg,waschmaschine,xxxx,.jpg,baseline,E,4
list1_block4,p01,meerkannibale.jpg,meer,kannibale,.jpg,unr2,D,4
list1_block4,p01,treppemillionar.jpg,treppe,millionar,.jpg,unr1,C,4
list1_block4,p01,tresortatsache.jpg,tresor,tatsache,.jpg,nonlinear,B,4
list1_block4,p01,spielerspinat.jpg,spieler,spinat,.jpg,onsetphon,A,4
list1_block4,p01,mappchenxxxx.jpg,mappchen,xxxx,.jpg,baseline,E,4
list1_block4,p01,sangermalkasten.jpg,sanger,malkasten,.jpg,unr2,D,4
list1_block4,p01,lastwagenschorf.jpg,lastwagen,schorf,.jpg,unr1,C,4
list1_block4,p01,linealflannel.jpg,lineal,flannel,.jpg,nonlinear,B,4
list1_block4,p01,fadenfahrplan.jpg,faden,fahrplan,.jpg,onsetphon,A,4
list1_block4,p01,zeltxxxx.jpg,zelt,xxxx,.jpg,baseline,E,4
list1_block4,p01,baguetteschliesse.jpg,baguette,schliesse,.jpg,unr2,D,4
list1_block4,p01,schornsteinautismus.jpg,schornstein,autismus,.jpg,unr1,C,4
list1_block4,p01,kuhlschrankschlange.jpg,kuhlschrank,schlange,.jpg,nonlinear,B,4
list1_block4,p01,mixermillionar.jpg,mixer,millionar,.jpg,onsetphon,A,4
list1_block4,p01,autoxxxx.jpg,auto,xxxx,.jpg,baseline,E,4
list1_block4,p01,ventilatormappen.jpg,ventilator,mappen,.jpg,unr2,D,4
list1_block4,p01,unterseebootschlaganfall.jpg,unterseeboot,schlaganfall,.jpg,unr1,C,4
list1_block4,p01,krankenschwesterrakete.jpg,krankenschwester,rakete,.jpg,nonlinear,B,4
