session,sub_id,picture,target,distractor,format,condition,conditionletter,block
list1_block5,p01,flugzeugxxxx.jpg,flugzeug,xxxx,.jpg,baseline,E,5
list1_block5,p01,scherebargeld.jpg,schere,bargeld,.jpg,unr2,D,5
list1_block5,p01,schlusselbrombeere.jpg,schlussel,brombeere,.jpg,unr1,C,5
list1_block5,p01,brillebargeld.jpg,brille,bargeld,.jpg,nonlinear,B,5
list1_block5,p01,buchbuffet.jpg,buch,buffet,.jpg,onsetphon,A,5
list1_block5,p01,regenschirmxxxx.jpg,regenschirm,xxxx,.jpg,baseline,E,5
list1_block5,p01,moscheefahrkarten.jpg,moschee,fahrkarten,.jpg,unr2,D,5
list1_block5,p01,hexebalkon.jpg,hexe,balkon,.jpg,unr1,C,5
list1_block5,p01,vasedevise.jpg,vase,devise,.jpg,nonlinear,B,5
list1_block5,p01,waschmaschinewaschbar.jpg,waschmaschine,waschbar,.jpg,onsetphon,A,5
list1_block5,p01,meerxxxx.jpg,meer,xxxx,.jpg,baseline,E,5
list1_block5,p01,treppewachsblumen.jpg,treppe,wachsblumen,.jpg,unr2,D,5
list1_block5,p01,tresorkramladen.jpg,tresor,kramladen,.jpg,unr1,C,5
list1_block5,p01,spielerschliesse.jpg,spieler,schliesse,.jpg,nonlinear,B,5
list1_block5,p01,mappchenmannlein.jpg,mappchen,mannlein,.jpg,onsetphon,A,5
list1_block5,p01,sangerxxxx.jpg,sanger,xxxx,.jpg,baseline,E,5
list1_block5,p01,lastwagenmischehe.jpg,lastwagen,mischehe,.jpg,unr2,D,5
list1_block5,p01,linealwaschbar.jpg,lineal,waschbar,.jpg,unr1,C,5
list1_block5,p01,fadenfahrkarten.jpg,faden,fahrkarten,.jpg,nonlinear,B,5
list1_block5,p01,zeltzelle.jpg,zelt,zelle,.jpg,onsetphon,A,5
list1_block5,p01,baguettexxxx.jpg,baguette,xxxx,.jpg,baseline,E,5
list1_block5,p01,schornsteintatsache.jpg,schornstein,tatsache,.jpg,unr2,D,5
list1_block5,p01,kuhlschrankmannlein.jpg,kuhlschrank,mannlein,.jpg,unr1,C,5
list1_block5,p01,mixermalkasten.jpg,mixer,malkasten,.jpg,nonlinear,B,5
list1_block5,p01,autoautismus.jpg,auto,autismus,.jpg,onsetphon,A,5
list1_block5,p01,ventilatorxxxx.jpg,ventilator,xxxx,.jpg,baseline,E,5
list1_block5,p01,unterseebootpauschale.jpg,unterseeboot,pauschale,.jpg,unr2,D,5
list1_block5,p01,krankenschwesterbuffet.jpg,krankenschwester,buffet,.jpg,unr1,C,5
