session,sub_id,picture,target,distractor,format,condition,conditionletter,block
list1_block2,p01,flugzeugfeuerwerk.jpg,flugzeug,feuerwerk,.jpg,nonlinear,B,2
list1_block2,p01,scherescherwolle.jpg,schere,scherwolle,.jpg,onsetphon,A,2
list1_block2,p01,schlusselxxxx.jpg,schlussel,xxxx,.jpg,baseline,E,2
list1_block2,p01,brillegangart.jpg,brille,gangart,.jpg,unr2,D,2
list1_block2,p01,buchtrennlinie.jpg,buch,trennlinie,.jpg,unr1,C,2
list1_block2,p01,regenschirmhohlenmensch.jpg,regenschirm,hohlenmensch,.jpg,nonlinear,B,2
list1_block2,p01,moscheemoschus.jpg,moschee,moschus,.jpg,onsetphon,A,2
list1_block2,p01,hexexxxx.jpg,hexe,xxxx,.jpg,baseline,E,2
list1_block2,p01,vaseschraubenzieher.jpg,vase,schraubenzieher,.jpg,unr2,D,2
list1_block2,p01,waschmaschinefahrplan.jpg,waschmaschine,fahrplan,.jpg,unr1,C,2
list1_block2,p01,meermarke.jpg,meer,marke,.jpg,nonlinear,B,2
list1_block2,p01,treppetrennlinie.jpg,treppe,trennlinie,.jpg,onsetphon,A,2
list1_block2,p01,tresorxxxx.jpg,tresor,xxxx,.jpg,baseline,E,2
list1_block2,p01,spielernaturalismus.jpg,spieler,naturalismus,.jpg,unr2,D,2
list1_block2,p01,mappchenunfeinheit.jpg,mappchen,unfeinheit,.jpg,unr1,C,2
list1_block2,p01,sangergangart.jpg,sanger,gangart,.jpg,nonlinear,B,2
list1_block2,p01,lastwagenlampenschein.jpg,lastwagen,lampenschein,.jpg,onsetphon,A,2
list1_block2,p01,linealxxxx.jpg,lineal,xxxx,.jpg,baseline,E,2
list1_block2,p01,fadenschlange.jpg,faden,schlange,.jpg,unr2,D,2
list1_block2,p01,zeltmechaniker.jpg,zelt,mechaniker,.jpg,unr1,C,2
list1_block2,p01,baguettebogen.jpg,baguette,bogen,.jpg,nonlinear,B,2
list1_block2,p01,schornsteinschorf.jpg,schornstein,schorf,.jpg,onsetphon,A,2
list1_block2,p01,kuhlschrankxxxx.jpg,kuhlschrank,xxxx,.jpg,baseline,E,2
list1_block2,p01,mixerbadetuch.jpg,mixer,badetuch,.jpg,unr2,D,2
list1_block2,p01,autokuhnheit.jpg,auto,kuhnheit,.jpg,unr1,C,2
list1_block2,p01,ventilatorkannibale.jpg,ventilator,kannibale,.jpg,nonlinear,B,2
list1_block2,p01,unterseebootunfeinheit.jpg,unterseeboot,unfeinheit,.jpg,onsetphon,A,2
list1_block2,p01,krankenschwesterxxxx.jpg,krankenschwester,xxxx,.jpg,baseline,E,2
